tic,Type,Avg_Accrual_Ratio,Avg_Rev_Growth,Avg_NI,Avg_OCF
OTLY,Growth,-0.09149132713231316,0.1963688199463619,-256.8288,-161.428
BYND,Growth,-0.07440699029473556,-0.046439394313071175,-219.8832,-173.6494
PEP,Mature,-0.034880877387811676,0.06984145916570073,8460.0,11797.8
KHC,Mature,-0.024459303237465074,-0.0031006487887187684,1866.0,4184.4
SMPL,Growth,-0.018269354097041293,0.13205201662175686,97.5952,137.69400000000002
GIS,Mature,-0.018022069708313614,0.018823924506916972,2486.56,3059.74
KO,Mature,-0.008237598029980931,0.0939720843757138,9681.0,10378.2
MDLZ,Mature,-0.0042663447626703896,0.08310974818468825,4028.4,4327.4
MNST,Growth,0.001816231572301788,0.1301694508205204,1423.7458000000001,1410.7777999999998
CELH,Growth,0.021286039365931392,0.8822159801687168,39.4108,83.82140000000001
